0,officer_first_name,gender_inference
"PLUMB, Jeffery Lewis",Jeffery Lewis,'is male'
"PHILLIPS, Sarah Jane Hood",Sarah Jane Hood,'is female'
"STANFORD, Andrew Charles",Andrew Charles,'is male'
"TRIFFITT, Jonathan Paul",Jonathan Paul,'is male'
"WARD, Diane",Diane,'is female'
"WIGGANS, Edward Charles",Edward Charles,'is male'
"WESTON, Clive",Clive,'is male'
"WATSON, Brian",Brian,'is male'
"THEJLS, Ove",Ove,'is male'
"WYLDE, Helene Frances",Helene Frances,'is female'
"WHITE, William Frederick, Dr",William Frederick,'is male'
"PAPADIMITRIOU, Michael",Michael,'is male'
"WINTERTON, Jonathan Gregory",Jonathan Gregory,'is male'
HANOVER DIRECTORS LIMITED,,
MD SECRETARIES LIMITED,,
"WOOD, Elizabeth May",Elizabeth May,'is female'
"WIGGINS, Ingrid",Ingrid,'is female'
"WEARMOUTH, Gordon",Gordon,'is male'
"ZIA, Atif",Atif,'is male'
"THIRD, Louise Anne Catherine",Louise Anne Catherine,'is female'
"WOOD, Peter John",Peter John,'is male'
"COLE, Paul David",Paul David,'is male'
"WILLIAMS, Robert Kenneth",Robert Kenneth,'is male'
FORM 10 DIRECTORS FD LTD,,
"TROTTER, John Algernon Henry",John Algernon Henry,'is male'
RAPID NOMINEES LIMITED,,
"BAILEY, Ernest Wilfred",Ernest Wilfred,'is male'
"GISBY, Robin William",Robin William,'is male'
"DAVIES, Donald",Donald,'is male'
"WILSON, Kenneth Spark",Kenneth Spark,'is male'
"WHITESMITH, Howard William",Howard William,'is male'
"WRAY, Nigel William",Nigel William,'is male'
"WILKINS, Sean Ernest",Sean Ernest,'is male'
"WARD, Kenneth Duncan",Kenneth Duncan,'is male'
"WARD, Donald",Donald,'is male'
"WILSON, Ian Thomas",Ian Thomas,'is male'
"WELSH, Brian Alexander",Brian Alexander,'is male'
"WHEELER, Gerald",Gerald,'is male'
"TWEED, Richard Edward, Chief Superintendent",Richard Edward,'is male'
"WOODCOCK, Yvonne Dorothy",Yvonne Dorothy,'is female'
SEVERNSIDE NOMINEES LIMITED,,
"WHITEHOUSE, David Ian",David Ian,'is male'
"NIGHTINGALE, Barry",Barry,'is mostly male'
"WILSON, Gordon Alexander",Gordon Alexander,'is male'
CASTLEGATE DIRECTORS LIMITED,,
"YAMAGUCHI, Hirotoshi",Hirotoshi,'is male'
"YUSSOF, Zainab Mohd",Zainab Mohd,'is female'
"COWDRY, John Jeremy Arthur",John Jeremy Arthur,'is male'
"WATSON, Paul Lennard",Paul Lennard,'is male'
SUMMERGLEN LIMITED,,
"YOUNG, Helen Mary",Helen Mary,'is female'
"KANDOLA, Surinderjit Singh",Surinderjit Singh,'name not found'
"PEMBERTON, Steven",Steven,'is male'
"WINTERBOTTOM, Michael",Michael,'is male'
"TURNER, Edward Michael",Edward Michael,'is male'
"ROBERTSON, William",William,'is male'
"WHITE, Stephen Henry",Stephen Henry,'is male'
"WOODESON, Alan Rogers",Alan Rogers,'is male'
"HARRIS, Philip",Philip,'is male'
"STRAKA, Randolph Joseph",Randolph Joseph,'is male'
ABOGADO NOMINEES LIMITED,,
"WILSON, Michael Joseph",Michael Joseph,'is male'
"WORSLEY, Marcus Arnold",Marcus Arnold,'is male'
"WILD, Hilary Frances",Hilary Frances,'is female'
"WILKINS, Sean Ernest",Sean Ernest,'is male'
"WILLIAMS, John Christopher",John Christopher,'is male'
"PREUSS, Volkmar",Volkmar,'is male'
"WILSON, Gary Robert",Gary Robert,'is male'
"WITTICH, Marko Hagen",Marko Hagen,'is male'
"WOODCOCK, Hugh Elborough Parry",Hugh Elborough Parry,'is male'
"WYNNE, Linda",Linda,'is female'
MB NOMINEES LIMITED,,
"MILLS, David",David,'is male'
"WATKINSON, Michael, Dr",Michael,'is male'
LUCIENE JAMES LIMITED,,
WATERLOW NOMINEES LIMITED,,
"PAWLEY, Richard John William",Richard John William,'is male'
"WHITTINGTON, Christopher Ian Benedict",Christopher Ian Benedict,'is male'
"WORTHINGTON, Nicholas Anthony",Nicholas Anthony,'is male'
"BULLIVANT, Timothy Wild",Timothy Wild,'is male'
"WALKER, James Michael",James Michael,'is male'
"STANLEY, John",John,'is male'
"THOULD, Brian Martin",Brian Martin,'is male'
"TASKER, Roger",Roger,'is male'
PINSENT MASONS DIRECTOR LIMITED,,
"SPRATT, Adrian John",Adrian John,'is male'
"WILDMAN, Karen Christina",Karen Christina,'is female'
"KHURANA, Laxmi Avtar Kaur",Laxmi Avtar Kaur,'is female'
"WILLIAMS, John David",John David,'is male'
"WOOD, Martyn Leslie",Martyn Leslie,'is male'
"WILLIAMS, John Peter",John Peter,'is male'
"WORTMAN, Hans Paul",Hans Paul,'is male'
"WOOD, Nicholas Alexander Lewis",Nicholas Alexander Lewis,'is male'
SEVERNSIDE NOMINEES LIMITED,,
JORDANS (SCOTLAND) LIMITED,,
"WINN, John Michael",John Michael,'is male'
"WINN, John Michael",John Michael,'is male'
"RIDSDALE, Gary Maurice",Gary Maurice,'is male'
"TIMMIS, Karl Christopher",Karl Christopher,'is male'
"VAN BEERS, Antonius Maria",Antonius Maria,'is male'
"HOOD, Stuart Vaughan",Stuart Vaughan,'is male'
CASTLEGATE DIRECTORS LIMITED,,
"WILSON, Richard Philip",Richard Philip,'is male'
"TAYLOR, Michael John",Michael John,'is male'
"WILLIAMS, Lowell Charles",Lowell Charles,'is male'
"TAYLOR, Philip Dudley",Philip Dudley,'is male'
"SMALLWOOD, Steven Charles",Steven Charles,'is male'
"GOUGIS, Chester Arthur",Chester Arthur,'is male'
"LEVACK, Sadie Calesta",Sadie Calesta,'is female'
"TURNBULL, Andrew, Lord",Andrew,'is male'
"WILLIAMS, Phillip Huw, Dr",Phillip Huw,'is male'
"WOOLSTON, Piers Dominic Gilchrist",Piers Dominic Gilchrist,'is male'
"SMYTH, Andrew",Andrew,'is male'
"SMYTH, Andrew",Andrew,'is male'
"POTTS, Colin Edwin",Colin Edwin,'is male'
LONDON LAW SERVICES LIMITED,,
COMPANY DIRECTORS LIMITED,,
"TANNER, Christopher John",Christopher John,'is male'
"WHITLEY, Carole",Carole,'is female'
"WOOD, Peter",Peter,'is male'
INSTANT COMPANIES LIMITED,,
INGLEBY HOLDINGS LIMITED,,
INSTANT COMPANIES LIMITED,,
"WATSON, Allan",Allan,'is male'
"BRACE, David Andrew",David Andrew,'is male'
"MURPHY, Pamela",Pamela,'is female'
"YAMAGISHI, Takashi",Takashi,'is male'
"WAKEMAN, John Stanley",John Stanley,'is male'
VINDEX SERVICES LIMITED,,
"WILLIAMS, John Daniel Robert",John Daniel Robert,'is male'
"THOMPSON, Scott Ramon",Scott Ramon,'is male'
"WHELAN, Alan Francis",Alan Francis,'is male'
"HOBBS, Paul Robert",Paul Robert,'is male'
"WHEELER, Michael Richard",Michael Richard,'is male'
"PRICE, Richard Anthony",Richard Anthony,'is male'
"XU, Peng",Peng,'is unisex name'
"TEACHER, Michael John",Michael John,'is male'
COMBINED SECRETARIAL SERVICES LIMITED,,
"SHIPSEY, John Francis",John Francis,'is male'
"THICK, Andrew",Andrew,'is male'
"SMITH, Kenneth Howard Avery",Kenneth Howard Avery,'is male'
"MACDOWALL, Anne Julia",Anne Julia,'is female'
"MCFARLANE, Andrew",Andrew,'is male'
"WALKER, Lisa Jane",Lisa Jane,'is female'
"VANDERMEER, John Adrian",John Adrian,'is male'
"TAYLOR, John Michael",John Michael,'is male'
POWERGEN SECRETARIES LIMITED,,
"ZUNFT, Jorg",Jorg,'is male'
POWERGEN DIRECTORS LIMITED,,
"WINSER, Graeme",Graeme,'is male'
"YOULE, John Leonard",John Leonard,'is male'
"TREWARTHA, Claire Amy Elizabeth",Claire Amy Elizabeth,'is female'
"WYLIE, Andrew Robertson",Andrew Robertson,'is male'
"WILSON, Ian David",Ian David,'is male'
"SANTOS, Francis Verrissimo",Francis Verrissimo,'is unisex name'
"WOODS, Brian Edwin",Brian Edwin,'is male'
"WHITE, David Richard",David Richard,'is male'
"WRIGHT, Graeme",Graeme,'is male'
BURNESS (DIRECTORS) LIMITED,,
"WOUHRA, Trilok Singh",Trilok Singh,'name not found'
"WRIGHT, Michael, Professor",Michael,'is male'
"WILLIAMS, Heath",Heath,'is male'
"SPINK, Suzanne",Suzanne,'is female'
"WRIGHT, Colin John",Colin John,'is male'
"WYNNE-JONES, Martin",Martin,'is male'
"WOODCOCK, Melvyn",Melvyn,'is male'
"WOOD, Bevan Alexander",Bevan Alexander,'is male'
"WRIGHT, Oliver",Oliver,'is male'
"STEWARD, Mark Stephen",Mark Stephen,'is male'
"KNIGHT, Robin Francis",Robin Francis,'is mostly female'
"YORKE, Stephen Justin",Stephen Justin,'is male'
P & B INVESTMENT HOLDINGS LTD,,
"WILSON, Susan Anne",Susan Anne,'is female'
"WATT, William Andrew Brian",William Andrew Brian,'is male'
"WELLARD, Melanie",Melanie,'is female'
"KING, Susan Ruth",Susan Ruth,'is female'
"WRIGHT, Craig Edward",Craig Edward,'is male'
"WILSON, Garry John",Garry John,'is male'
